Species,Order,Family,Genus,EADDC,BDT C,UDT
Tetranychus evansi,Acari,Tetranychidae,Tetranychus,70.97,9.1,31
Tetranychus evansi,Acari,Tetranychidae,Tetranychus,56.58,14.63,30
Tetranychus kanzawai,Acari,Tetranychidae,Tetranychus,103.68,13.1,
Tetranychus kanzawai,Acari,Tetranychidae,Tetranychus,, ,
Tetranychus mcdanieli,Acari,Tetranychidae,Tetranychus,49.63,12.05,32
Tetranychus okinawanus,Acari,Tetranychidae,Tetranychus,57.54,11.58,30
Tetranychus pacificus,Acari,Tetranychidae,Tetranychus,121,11.1,
Tetranychus pacificus,Acari,Tetranychidae,Tetranychus,,12,
Tetranychus pacificus,Acari,Tetranychidae,Tetranychus,51.56,11.15,29.4
Tetranychus pacificus,Acari,Tetranychidae,Tetranychus,60.34,10.63,28
Tetranychus truncatus,Acari,Tetranychidae,Tetranychus,53.04,14.09,25
Tetranychus truncatus,Acari,Tetranychidae,Tetranychus,53.9,11.12,30
Tetranychus truncatus,Acari,Tetranychidae,Tetranychus,53.28,14.1,30
Tetranychus truncatus,Acari,Tetranychidae,Tetranychus,68.69,11.17,30
Tetranychus turkestani,Acari,Tetranychidae,Tetranychus,112.1,12,
Tetranychus turkestani,Acari,Tetranychidae,Tetranychus,51.63,11.67,29.4
Tetranychus turkestani,Acari,Tetranychidae,Tetranychus,61.43,10.05,30
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,148.7,10.32,35
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,108.6,11.74,
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,144.5,10,
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,47.3,11.04,25
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,53.39,11.81,29.4
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,52.76,10.18,21
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,53.41,12.49,31
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,61.81,11.36,30
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,68.81,12.07,30
Tetranychus urticae,Acari,Tetranychidae,Tetranychus,68.86,10.65,30
Tetranychus viennensis,Acari,Tetranychidae,Tetranychus,79.41,10.93,25
Tetranychus viennensis,Acari,Tetranychidae,Tetranychus,58.6,12.62,32
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,5563.6,11.2,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,4751.9,11.6,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,5416.1,11.7,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,5322.6,11.9,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,5130.7,12,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,4905.2,12.3,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,4457.1,13.1,
Periplaneta fuliginosa,Blattodea,Blattidae,Periplaneta,4234,13.4,
Perapion antiquum,Coleoptera,Apionidae,Perapion,368.3,9.1,
Prostephanus truncatus,Coleoptera,Bostrichidae,Prostephanus,401.2,15.2,
Prostephanus truncatus,Coleoptera,Bostrichidae,Prostephanus,416.2,16.2,
Prostephanus truncatus,Coleoptera,Bostrichidae,Prostephanus,403.88,15.16,31.67
Rhyzopertha dominica,Coleoptera,Bostrichidae,Rhyzopertha,489.9,15.1,
Cylas formicarius elegantulus,Coleoptera,Brentidae,Cylas,346,15.5,
Cylas puncticollis,Coleoptera,Brentidae,Cylas,349.6,10.84,
Cylas puncticollis,Coleoptera,Brentidae,Cylas,408.08,11.11,
Acanthoscelides obtectus,Coleoptera,Bruchidae,Acanthoscelides,,,
Acanthoscelides obtectus,Coleoptera,Bruchidae,Acanthoscelides,,,
Bruchidius incarnatus,Coleoptera,Bruchidae,Bruchidius,,,
Bruchidius incarnatus,Coleoptera,Bruchidae,Bruchidius,,,
Bruchidius incarnatus,Coleoptera,Bruchidae,Bruchidius,,,
Callosobruchus andis,Coleoptera,Bruchidae,Callosobruchus,428.5,13.2,
Callosobruchus chinensis,Coleoptera,Bruchidae,Callosobruchus,336.4,13.9,
Callosobruchus maculatus,Coleoptera,Bruchidae,Callosobruchus,517.09,12.98,
Callosobruchus maculatus,Coleoptera,Bruchidae,Callosobruchus,440.1,15,
Callosobruchus phaseoli,Coleoptera,Bruchidae,Callosobruchus,619,11,
Callosobruchus rhodesianus,Coleoptera,Bruchidae,Callosobruchus,468.7,13.2,
Kytorhinus sharpianus,Coleoptera,Bruchidae,Kytorhinus,,12,
Zabrotes subfasciatus,Coleoptera,Bruchidae,Zabrotes,408.8,15,
Agrilus anxius,Coleoptera,Buprestidae,Agrilus,,9,
Bembidion lampros,Coleoptera,Carabidae,Bembidion,579.99,6.53,
Calathus melanocephalus,Coleoptera,Carabidae,Calathus,473.7,7.3,
Calathus melanocephalus,Coleoptera,Carabidae,Calathus,582.4,7.4,
Calathus melanocephalus,Coleoptera,Carabidae,Calathus,461.1,7.7,
Calathus melanocephalus,Coleoptera,Carabidae,Calathus,515.4,8.3,
Calathus melanocephalus,Coleoptera,Carabidae,Calathus,,,
Calathus melanocephalus,Coleoptera,Carabidae,Calathus,,,
Calleida decora,Coleoptera,Carabidae,Calleida,,12.8,35
Carabus yaconinus,Coleoptera,Carabidae,Carabus,844.2,4.4,
Anoplophora glabripennis,Coleoptera,Cerambycidae,Anoplophora,,10,
Anoplophora malasiaca,Coleoptera,Cerambycidae,Anoplophora,,,
Monochamus alternatus,Coleoptera,Cerambycidae,Monochamus,, ,
Monochamus carolinensis,Coleoptera,Cerambycidae,Monochamus,,,
Monochamus saltuarius,Coleoptera,Cerambycidae,Monochamus,, ,
Phoracantha semipunctata,Coleoptera,Cerambycidae,Phoracantha,, ,
Psacothea hilaris,Coleoptera,Cerambycidae,Psacothea,1278.7,13.3,
Thanasimus dubius,Coleoptera,Cleridae,Thanasimus,,,
Thanasimus dubius,Coleoptera,Cleridae,Thanasimus,,,
Thanasimus formicarius,Coleoptera,Cleridae,Thanasimus,1262.52,1.58,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,,,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,,,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,, ,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,, ,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,256.3,9.2,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,245.6,9.4,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,314.22,8.36,
Adalia bipunctata,Coleoptera,Coccinellidae,Adalia,251.81,9.2,
Adalia decempunctata,Coleoptera,Coccinellidae,Adalia,, ,
Adalia flavomaculauta,Coleoptera,Coccinellidae,Adalia,170.7,16.6,
Adonia variegata,Coleoptera,Coccinellidae,Adonia,, ,
Adonia variegata,Coleoptera,Coccinellidae,Adonia,90.2,19.7,
Calvia quatuordecimguttata,Coleoptera,Coccinellidae,Calvia,274.1,8.2,
Calvia quaturodecimguttata,Coleoptera,Coccinellidae,Calvia,294.4,7.34,
Calvia quaturodecimguttata,Coleoptera,Coccinellidae,Calvia,291.7,7.5,
Calvia quaturodecimguttata,Coleoptera,Coccinellidae,Calvia,288,7.7,
Calvia quaturodecimguttata,Coleoptera,Coccinellidae,Calvia,270.6,8.5,
Clitostethus arcuatus,Coleoptera,Coccinellidae,Clitostethus,269.5,10.8,
Coccinella californica,Coleoptera,Coccinellidae,Coccinella,,,
Coccinella movemnotata,Coleoptera,Coccinellidae,Coccinella,232.4,12.5,
Coccinella quinquepunctata,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,191,13.7,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,,,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,,,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,,,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,199.7,12.4,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,207.3,11.6,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,289.8,11.5,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,253.07,10.68,
Coccinella septempunctata,Coleoptera,Coccinellidae,Coccinella,244.3,11.76,
Coccinella septempunctata brucki,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata brucki,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata brucki,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella septempunctata brucki,Coleoptera,Coccinellidae,Coccinella,,,
Coccinella septempunctata brucki,Coleoptera,Coccinellidae,Coccinella,239.6,11.7,
Coccinella transversoguttata,Coleoptera,Coccinellidae,Coccinella,, ,
Coccinella transversoguttata,Coleoptera,Coccinellidae,Coccinella,229.5,11.7,
Coccinella trifasciata,Coleoptera,Coccinellidae,Coccinella,,,
Coccinella undecimpunctata,Coleoptera,Coccinellidae,Coccinella,,,
Coleomegilla maculata,Coleoptera,Coccinellidae,Coleomegilla,235.8,11.3,
Coleomegilla maculata lengi,Coleoptera,Coccinellidae,Coleomegilla,186.6,14.4,
Cryptolaemus montrouzieri,Coleoptera,Coccinellidae,Cryptolaemus,411.2,13.7,
Cycloneda polita,Coleoptera,Coccinellidae,Cycloneda,,,
Diomus hennesseyi,Coleoptera,Coccinellidae,Diomus,,9.6,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,,,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,358.1,11.5,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,, ,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,, ,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,, ,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,, ,
Epilachna varivestis,Coleoptera,Coccinellidae,Epilachna,,,
Eriopis connexa,Coleoptera,Coccinellidae,Eriopis,226.8,10.2,
Exochomus nigromaculatus,Coleoptera,Coccinellidae,Exochomus,272.45,9.25,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,,,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,231.3,10.5,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,267.3,11.23,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,266.37,11.09,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,267.19,11.13,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,279,10.8,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,, ,
Harmonia axyridis,Coleoptera,Coccinellidae,Harmonia,232,10.4,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,402.3,6.8,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,,,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,, ,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,, ,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,224.7,12.7,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,216.7,13.1,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,239.3,11.7,
Hippodamia convergens,Coleoptera,Coccinellidae,Hippodamia,230.4,13.55,
Hippodamia parenthesis,Coleoptera,Coccinellidae,Hippodamia,249.6,10.3,
Hippodamia quinquesignata,Coleoptera,Coccinellidae,Hippodamia,,,
Hippodamia septemmaculata,Coleoptera,Coccinellidae,Hippodamia,, ,
Hippodamia sinuata,Coleoptera,Coccinellidae,Hippodamia,271.8,9.5,
Hippodamia sinuata,Coleoptera,Coccinellidae,Hippodamia,231.1,12.1,
Cheilomenes sexmaculata,Coleoptera,Coccinellidae,Cheilomenes,214.59,10,
Cheilomenes sulphurea,Coleoptera,Coccinellidae,Cheilomenes,, ,
Cheilomenes sulphurea,Coleoptera,Coccinellidae,Cheilomenes,259.1,11.7,
Chilocorus bipustulatus,Coleoptera,Coccinellidae,Chilocorus,595.6,9.7,
Chilocorus kuwanae,Coleoptera,Coccinellidae,Chilocorus,475.5,11.2,
Chilocorus nigritus,Coleoptera,Coccinellidae,Chilocorus,324.8,16.6,
Chilocorus nigritus,Coleoptera,Coccinellidae,Chilocorus,362.77,15.59,
Lemnia biplagiata,Coleoptera,Coccinellidae,Lemnia,225.7,11.9,
Lioadalia flavomaculata,Coleoptera,Coccinellidae,Lioadalia,239.7,10.2,
Menochilus sexmaculatus,Coleoptera,Coccinellidae,Menochilus,,,
Nephus reunioni,Coleoptera,Coccinellidae,Nephus,491.7,10.9,
Nephus reunioni,Coleoptera,Coccinellidae,Nephus,469.5,11.9,
Olla v-nigrum,Coleoptera,Coccinellidae,Olla,,,
Propylea dissecta,Coleoptera,Coccinellidae,Propylea,465.11,10.4,
Propylea japonica,Coleoptera,Coccinellidae,Propylea,, ,
Propylea japonica,Coleoptera,Coccinellidae,Propylea,,,
Propylea japonica,Coleoptera,Coccinellidae,Propylea,204.2,10.1,
Propylea quatuordecimpunctata,Coleoptera,Coccinellidae,Propylea,192.9,11.8,
Propylea quatuordecimpunctata,Coleoptera,Coccinellidae,Propylea,274.6,5.9,
Propylea quatuordecimpunctata,Coleoptera,Coccinellidae,Propylea,, ,
Pseudoscymnus tsugae,Coleoptera,Coccinellidae,Pseudoscymnus,295.13,12.55,
Rhyzobius lophanthae,Coleoptera,Coccinellidae,Rhyzobius,242.01,13.46,
Rhyzobius lophanthae,Coleoptera,Coccinellidae,Rhyzobius,444.16,8.22,
Rhyzobius lophanthae,Coleoptera,Coccinellidae,Rhyzobius,418.55,8.28,
Scymnus frontalis,Coleoptera,Coccinellidae,Scymnus,324,11.2,
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,, ,
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,269.2,9.2,
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,197,10.6,
Scymnus hoffmani,Coleoptera,Coccinellidae,Scymnus,181.8,11.3,
Scymnus interruptus,Coleoptera,Coccinellidae,Scymnus,,,
Scymnus levaillanti,Coleoptera,Coccinellidae,Scymnus,277.35,10.64,
Semiadalia undecimnotata,Coleoptera,Coccinellidae,Semiadalia,, ,
Stethorus punctillum,Coleoptera,Coccinellidae,Stethorus,158.72,11.71,
Stethorus punctum punctum,Coleoptera,Coccinellidae,Stethorus,,5,
Subcoccinella vigintiquattuorpunctata,Coleoptera,Coccinellidae,Subcoccinella,488.9,4.6,
Subcoccinella vigintiquattuorpunctata,Coleoptera,Coccinellidae,Subcoccinella,507.2,5.1,
Subcoccinella vigintiquattuorpunctata,Coleoptera,Coccinellidae,Subcoccinella,430.5,7.4,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,,,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,286.9,9.8,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,301.8,10.9,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,294.2,11.1,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,276.9,11.9,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,273.8,11.9,
Anthonomus grandis,Coleoptera,Curculionidae,Anthonomus,274.6,13.04,39
Anthonomus pomorum,Coleoptera,Curculionidae,Anthonomus,,6,
Anthonomus signatus,Coleoptera,Curculionidae,Anthonomus,, ,
Anthonomus signatus,Coleoptera,Curculionidae,Anthonomus,417.2,2.7,
Artipus floridanus,Coleoptera,Curculionidae,Artipus,,,
Aubeonymus mariaefranciscae,Coleoptera,Curculionidae,Aubeonymus,545,17.1,
Baris lepidii,Coleoptera,Curculionidae,Baris,724.6,8,
Conotrachelus nenuphar,Coleoptera,Curculionidae,Conotrachelus,,10,
Conotrachelus nenuphar,Coleoptera,Curculionidae,Conotrachelus,, ,
Curculio elephas,Coleoptera,Curculionidae,Curculio,, ,
Curculio elephas,Coleoptera,Curculionidae,Curculio,, ,
Curculio elephas,Coleoptera,Curculionidae,Curculio,, ,
Curculio elephas,Coleoptera,Curculionidae,Curculio,, ,
Cylindrocopturus adspersus,Coleoptera,Curculionidae,Cylindrocopturus,, ,
Cylindrocopturus adspersus,Coleoptera,Curculionidae,Cylindrocopturus,,5,32
Diaprepes abbreviatus,Coleoptera,Curculionidae,Diaprepes,, ,
Episomus kwanhsiensis,Coleoptera,Curculionidae,Episomus,, ,
Euhrychiopsis leconti,Coleoptera,Curculionidae,Euhrychiopsis,311.14,9.74,
Hylobius pales,Coleoptera,Curculionidae,Hylobius,, ,
Hypera brunneipennis,Coleoptera,Curculionidae,Hypera,482.1,7.2,
Hypera brunneipennis,Coleoptera,Curculionidae,Hypera,433,7.8,
Hypera brunneipennis,Coleoptera,Curculionidae,Hypera,369.6,11.1,
Hypera meles,Coleoptera,Curculionidae,Hypera,631.4,10.6,
Hypera postica,Coleoptera,Curculionidae,Hypera,430.3,9.1,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,, ,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,8.9,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,,
Hypera postica,Coleoptera,Curculionidae,Hypera,,8.9,
Lissorhoptrus oryzophilus,Coleoptera,Curculionidae,Lissorhoptrus,, ,
Lissorhoptrus oryzophilus,Coleoptera,Curculionidae,Lissorhoptrus,, ,
Listronotus oregonensis,Coleoptera,Curculionidae,Listronotus,, ,
Listronotus oregonensis,Coleoptera,Curculionidae,Listronotus,486,9,
Listronotus oregonensis,Coleoptera,Curculionidae,Listronotus,562.4,7.6,
Listronotus texanus,Coleoptera,Curculionidae,Listronotus,437.5,13.3,
Neochetina bruchi,Coleoptera,Curculionidae,Neochetina,, ,
Neochetina bruchi,Coleoptera,Curculionidae,Neochetina,, ,
Neochetina eichhorniae,Coleoptera,Curculionidae,Neochetina,, ,
Otiorrhynchus ovatus,Coleoptera,Curculionidae,Otiorrhynchus,,8.89,39.4
Otiorrhynchus ovatus,Coleoptera,Curculionidae,Otiorrhynchus,, ,
Otiorrhynchus ovatus,Coleoptera,Curculionidae,Otiorrhynchus,, ,
Otiorrhynchus sulcatus,Coleoptera,Curculionidae,Otiorrhynchus,, ,
Pachnaeus opalus,Coleoptera,Curculionidae,Pachnaeus,, ,
Pantomorus cervinus,Coleoptera,Curculionidae,Pantomorus,, ,
Pantomorus cervinus,Coleoptera,Curculionidae,Pantomorus,, ,
Rhinocyllus conicus,Coleoptera,Curculionidae,Rhinocyllus,249.5,15.6,
Sitona humeralis,Coleoptera,Curculionidae,Sitona,,,
Sitona humeralis,Coleoptera,Curculionidae,Sitona,, ,
Sitona limosus,Coleoptera,Curculionidae,Sitona,,,
Sitophilus oryzae,Coleoptera,Curculionidae,Sitophilus,434.3,11.2,
Sitophilus oryzae,Coleoptera,Curculionidae,Sitophilus,715.2,15,
Sitophilus zeamais,Coleoptera,Curculionidae,Sitophilus,396.1,13.2,
Sitophilus zeamais,Coleoptera,Curculionidae,Sitophilus,471.3,13.3,
Sophrorhinus gbanjaensis,Coleoptera,Curculionidae,Sophrorhinus,692.4,10.7,
Trichosirocalus horridus,Coleoptera,Curculionidae,Trichosirocalus,,,
Zygogramma exclamationis,Coleoptera,Curculionidae,Zygogramma,, ,
Cybocephalus micans,Coleoptera,Cybocephalidae,Cybocephalus,494.5,13.8,
Cybocephalus nigriceps,Coleoptera,Cybocephalidae,Cybocephalus,552.3,14.8,
Anthrenus verbasci,Coleoptera,Dermestidae,Anthrenus,,,
Dermestes ater,Coleoptera,Dermestidae,Dermestes,,,
Dermestes haemorrhoidalis,Coleoptera,Dermestidae,Dermestes,664.1,13.2,
Dermestes lardarius,Coleoptera,Dermestidae,Dermestes,,,
Dermestes lardarius,Coleoptera,Dermestidae,Dermestes,,,
Dermestes peruvianus,Coleoptera,Dermestidae,Dermestes,882.2,12.1,
Dermestes peruvianus,Coleoptera,Dermestidae,Dermestes,419.66,12.9,
Trogoderma anthrenoides,Coleoptera,Dermestidae,Trogoderma,488.3,18.4,
Trogoderma anthrenoides,Coleoptera,Dermestidae,Trogoderma,546.8,18.5,
Trogoderma glabrum,Coleoptera,Dermestidae,Trogoderma,768.8,8.2,
Trogoderma glabrum,Coleoptera,Dermestidae,Trogoderma,887.6,9.5,
Trogoderma glabrum,Coleoptera,Dermestidae,Trogoderma,910.8,10.2,
Trogoderma glabrum,Coleoptera,Dermestidae,Trogoderma,995.3,10.8,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,369.3,19,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,377.3,19.7,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,389.5,20,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,411,20,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,426.6,20.5,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,334.2,20.6,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,322.7,20.8,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,273.7,21.2,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma granarium,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma inclusum,Coleoptera,Dermestidae,Trogoderma,866.2,11.4,
Trogoderma inclusum,Coleoptera,Dermestidae,Trogoderma,734.7,12.4,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,769.3,16.6,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,617.8,16.7,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,580.8,17.6,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,492.6,17.8,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,631.2,17.9,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,500.7,19.1,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma irroratum,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma simplex,Coleoptera,Dermestidae,Trogoderma,701.9,15.3,
Trogoderma simplex,Coleoptera,Dermestidae,Trogoderma,753.7,15.7,
Trogoderma variabile,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma variabile,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma variabile,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma variabile,Coleoptera,Dermestidae,Trogoderma,, ,
Trogoderma variabile,Coleoptera,Dermestidae,Trogoderma,850.8,12.2,
Trogoderma variabile,Coleoptera,Dermestidae,Trogoderma,633,15.5,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,811.7,13.5,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,726.7,16.6,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,654,16.9,
